-0.0261122	-0.0166481	-0.0293125	0.0485826	0.049969	-0.00939306	-0.0153807	0.0299578	-0.00750196	0.0291153	-0.0298761	-0.00625033	0.0175801	0.0295339	0.00381883	0.0399245	-0.0407639	-0.0133507	-0.00285425	0.0448834	-0.000531256	-0.0159598	-0.0425884	-0.0112262	0.00421027	0.0167451	0.019167	0.0440591	0.0419367	0.0289489	0.0490059	-0.00232147
-0.45953	0.404947	0.501635	0.462813	0.487789	-0.4668	0.444269	-0.53128	-0.491381	-0.488417	-0.461851	-0.382582	0.51928	-0.509486	-0.428395	0.442622	-0.416029	-0.441902	0.471567	-0.481725	0.398049	-0.456884	0.418706	-0.458088	-0.466579	0.48321	-0.453358	0.493394	0.45847	-0.444743	0.435434	-0.460702
-0.491917	0.532424	0.483613	0.452239	0.481537	-0.361183	0.529115	-0.426374	-0.374571	-0.399174	-0.536934	-0.495073	0.517585	-0.442913	-0.350728	0.331224	-0.485453	-0.486404	0.541769	-0.517728	0.457299	-0.433287	0.463243	-0.495532	-0.390261	0.493164	-0.502653	0.40387	0.452462	-0.411442	0.422163	-0.413192
-0.486608	0.407413	0.513123	0.458084	0.401944	-0.427786	0.538719	-0.450866	-0.423327	-0.523764	-0.437836	-0.447457	0.41447	-0.488616	-0.455637	0.491019	-0.485804	-0.443493	0.443861	-0.47469	0.418283	-0.520242	0.400763	-0.421677	-0.427237	0.317405	-0.487435	0.510577	0.467001	-0.534281	0.516393	-0.39255
-0.40159	0.445795	0.417806	0.43609	0.400386	-0.425721	0.436103	-0.389888	-0.382783	-0.402627	-0.390346	-0.357612	0.523265	-0.401447	-0.506332	0.498764	-0.411236	-0.480118	0.474898	-0.416943	0.406902	-0.495868	0.504482	-0.447187	-0.494937	0.512063	-0.423892	0.503693	0.494682	-0.483973	0.500945	-0.420309
-0.464686	0.483272	0.435436	0.421854	0.511595	-0.521761	0.503307	-0.415135	-0.510303	-0.454897	-0.42013	-0.407509	0.488069	-0.388335	-0.408277	0.395347	-0.424204	-0.407284	0.465333	-0.484083	0.536162	-0.476399	0.431655	-0.436296	-0.537725	0.253098	-0.501541	0.392201	0.54321	-0.468592	0.450907	-0.547478
-0.405202	0.250594	0.483399	0.460016	0.530746	-0.552931	0.346809	-0.429161	-0.534778	-0.4483	-0.461305	-0.355343	0.303182	-0.513804	-0.456898	0.570728	-0.360834	-0.495537	0.414158	-0.491053	0.601069	-0.523284	0.533247	-0.352119	-0.404156	0.189374	-0.462287	0.509622	0.552956	-0.61239	0.518756	-0.38503
-0.433434	0.442376	0.492955	0.407717	0.447942	-0.460808	0.431456	-0.46721	-0.435095	-0.391042	-0.461374	-0.485756	0.473177	-0.457981	-0.457144	0.367597	-0.373296	-0.370708	0.47024	-0.452526	0.55043	-0.454152	0.483327	-0.495725	-0.493405	0.502375	-0.483877	0.495708	0.413048	-0.43221	0.446877	-0.504623
-0.428151	0.402238	0.410368	0.464549	0.464513	-0.379901	0.234227	-0.41903	-0.477166	-0.484139	-0.426583	-0.430861	0.493479	-0.446037	-0.423323	0.544554	-0.504697	-0.425816	0.47786	-0.379871	0.428063	-0.43873	0.37498	-0.444301	-0.489936	0.491157	-0.48224	0.488408	0.454215	-0.433176	0.433022	-0.474946
-0.453306	0.3297	0.479908	0.466569	0.432848	-0.443448	0.314314	-0.478319	-0.46318	-0.393765	-0.491051	-0.328723	0.386384	-0.449346	-0.395052	0.48937	-0.443161	-0.458033	0.466279	-0.387686	0.518166	-0.428025	0.387113	-0.445992	-0.301533	0.47097	-0.461511	0.441363	0.505698	-0.435263	0.486635	-0.487583
